name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,snapshot_date,microarchitecture
AMD Ryzen 5 5600X,144.0,6,3.7,4.6,65,,True,2023-08-06,
Intel Core i3-540,110.0,2,3.06,,73,Intel HD Graphics,True,2023-08-06,
Intel Xeon E5-1650 V2,242.6,6,3.5,3.9,130,,True,2023-08-06,
AMD Phenom II X4 820,56.64,4,2.8,,95,,False,2023-08-06,
AMD Athlon II X4 640,74.79,4,3.0,,95,,False,2023-08-06,
AMD A10-6700,112.76,4,3.7,,65,Radeon HD 8670D,False,2023-08-06,
Intel Core i3-4130T,76.0,2,2.9,,35,Intel HD Graphics 4400,True,2023-08-06,
Intel Pentium E5700,24.99,2,3.0,,65,,False,2023-08-06,
Intel Xeon E-2104G,199.99,4,3.2,,65,Intel HD Graphics P630,False,2023-08-06,
Intel Core 2 Extreme QX9650,152.52,4,3.0,,130,,False,2023-08-06,
Intel Xeon E-2278G,1200.0,8,3.4,5.0,80,Intel HD Graphics P630,True,2023-08-06,
Intel Xeon E3-1241 V3,298.0,4,3.5,3.9,80,,True,2023-08-06,
AMD FX-8320,106.55,8,3.5,,125,,False,2023-08-06,
Intel Core i5-4690,147.91,4,3.5,3.9,84,Intel HD Graphics 4600,False,2023-08-06,
Intel Xeon E3-1245 V2,367.5,4,3.4,,77,Intel HD Graphics P4000,True,2023-08-06,
Intel Xeon E3-1225 V5,295.0,4,3.3,3.7,80,Intel HD Graphics P530,False,2023-08-06,
AMD A10-5700,72.51,4,3.4,,65,Radeon HD 7660D,False,2023-08-06,
Intel Core i5-7400T,119.0,4,2.4,3.0,35,Intel HD Graphics 630,False,2023-08-06,
Intel Core i3-7100,185.04,2,3.9,,51,Intel HD Graphics 630,True,2023-08-06,
Intel Core 2 Extreme QX6800,998.95,4,2.93,,100,,False,2023-08-06,
Intel Xeon E-2286G,762.99,6,4.0,4.9,95,Intel HD Graphics P630,True,2023-08-06,
Intel Celeron 430,29.99,1,1.8,,35,,False,2023-08-06,
