name,price,capacity,price_per_gb,type,cache,form_factor,interface,snapshot_date
Samsung 980 Pro,119.0,2000.0,0.06,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4,2023-08-06
Transcend MTS600,93.6,128.0,0.731,SSD,,M.2-2260,M.2 SATA,2023-08-06
Seagate BarraCuda,29.0,320.0,0.091,7200,16.0,3.5,SATA 6.0 Gb/s,2023-08-06
Toshiba MK5061GSYN,55.0,500.0,0.11,7200,16.0,2.5,SATA 3.0 Gb/s,2023-08-06
Western Digital Scorpio Black,58.49,500.0,0.117,7200,16.0,2.5,SATA 3.0 Gb/s,2023-08-06
Seagate BarraCuda,92.99,500.0,0.186,7200,16.0,3.5,SATA 3.0 Gb/s,2023-08-06
Toshiba X300,352.0,12000.0,0.029,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Seagate SkyHawk AI,279.0,10000.0,0.028,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Seagate Enterprise Capacity,93.49,4000.0,0.023,7200,128.0,3.5,SATA 6.0 Gb/s,2023-08-06
Seagate Enterprise Capacity,346.88,2000.0,0.173,7200,128.0,2.5,SATA 6.0 Gb/s,2023-08-06
Western Digital Blue,79.34,750.0,0.106,5400,8.0,2.5,SATA 6.0 Gb/s,2023-08-06
Kingston DC450R,153.52,1920.0,0.08,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Western Digital Red Pro,191.46,2000.0,0.096,7200,64.0,3.5,SATA 6.0 Gb/s,2023-08-06
Kingston HyperX 3K,919.88,480.0,1.916,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Toshiba S300,104.99,2000.0,0.052,5400,128.0,3.5,SATA 6.0 Gb/s,2023-08-06
Toshiba N300 Pro,169.99,8000.0,0.021,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Verbatim Vi550,19.67,256.0,0.077,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Corsair Force LE,280.49,480.0,0.584,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Samsung PM893,99.6,960.0,0.104,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Timetec 30TTQNS3SATA-1TB,33.99,1000.0,0.034,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Western Digital Purple,147.76,6000.0,0.025,5640,128.0,3.5,SATA 6.0 Gb/s,2023-08-06
Samsung PM893,160.9,1920.0,0.084,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Seagate IronWolf Pro,260.0,10000.0,0.026,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Western Digital SE,120.0,4000.0,0.03,7200,64.0,3.5,SATA 6.0 Gb/s,2023-08-06
Intel D3-S4520,609.0,7680.0,0.079,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Kingston DC450R,263.99,3840.0,0.069,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Seagate Enterprise Capacity,147.0,8000.0,0.018,7200,256.0,3.5,SAS 6.0 Gb/s,2023-08-06
Seagate Enterprise Capacity,170.62,4000.0,0.043,7200,128.0,3.5,SATA 6.0 Gb/s,2023-08-06
Toshiba N300,151.99,4000.0,0.038,7200,,3.5,SATA 6.0 Gb/s,2023-08-06
Toshiba AL13SEB600,15.99,600.0,0.027,10500,64.0,2.5,SAS 6.0 Gb/s,2023-08-06
Toshiba OCZ TR200,110.0,480.0,0.229,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Toshiba X300 Pro,309.99,16000.0,0.019,7200,512.0,3.5,SATA 6.0 Gb/s,2023-08-06
Intel 545s,25.0,128.0,0.195,SSD,,M.2-2280,M.2 SATA,2023-08-06
Lenovo 4XB0W79580,49.99,256.0,0.195,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
Western Digital Gold,194.21,6000.0,0.032,7200,128.0,3.5,SATA 6.0 Gb/s,2023-08-06
Western Digital Blue,85.79,500.0,0.172,7200,8.0,3.5,SATA 3.0 Gb/s,2023-08-06
SanDisk EXTREME PRO,199.99,480.0,0.417,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Toshiba Q Series Pro,149.94,256.0,0.586,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Seagate ST2000VN000,185.73,2000.0,0.093,5900,64.0,3.5,SATA 6.0 Gb/s,2023-08-06
Intel 520,209.4,120.0,1.745,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Kingston HyperX,712.69,240.0,2.97,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Hitachi 5K3000,266.99,2000.0,0.133,5400,32.0,3.5,SATA 6.0 Gb/s,2023-08-06
Lenovo 4XB0W79582,389.99,1000.0,0.39,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
Western Digital Purple,239.45,8000.0,0.03,5400,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Corsair Force LE,103.51,120.0,0.863,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Seagate Barracuda ES,31.99,250.0,0.128,7200,16.0,3.5,SATA 6.0 Gb/s,2023-08-06
Seagate BarraCuda,64.98,750.0,0.087,7200,32.0,3.5,SATA 3.0 Gb/s,2023-08-06
Verbatim Vi560,74.65,1000.0,0.075,SSD,,M.2-2280,M.2 SATA,2023-08-06
PNY CS900,64.99,1000.0,0.065,SSD,,M.2-2280,M.2 SATA,2023-08-06
Seagate FireCuda 510,202.0,500.0,0.404,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
Intel DC P4510,402.38,4000.0,0.101,SSD,,2.5,U.2,2023-08-06
Toshiba N300 Pro,114.99,4000.0,0.029,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Western Digital Red SA500,48.98,500.0,0.098,SSD,,M.2-2280,M.2 SATA,2023-08-06
Western Digital Red Pro,162.01,4000.0,0.041,7200,128.0,3.5,SATA 6.0 Gb/s,2023-08-06
Western Digital Red Pro,249.99,10000.0,0.025,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Inland TN320,84.99,2000.0,0.042,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
Toshiba N300 Pro,239.0,14000.0,0.017,7200,512.0,3.5,SATA 6.0 Gb/s,2023-08-06
HP FX900,39.99,512.0,0.078,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-08-06
Mushkin Enhanced ECO,59.99,1000.0,0.06,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Western Digital Black,64.0,500.0,0.128,7200,64.0,3.5,SATA 6.0 Gb/s,2023-08-06
Verbatim Vi560,30.82,256.0,0.12,SSD,,M.2-2280,M.2 SATA,2023-08-06
Seagate IronWolf 125,54.99,250.0,0.22,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Transcend 220S,37.99,512.0,0.074,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
Patriot Burst,89.99,960.0,0.094,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Intel Pro 5400s,843.0,1000.0,0.843,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Seagate BarraCuda 120,399.95,2000.0,0.2,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Western Digital Ultrastar DC HC550,610.99,16000.0,0.038,7200,512.0,3.5,SAS 12.0 Gb/s,2023-08-06
Inland TN320,31.99,512.0,0.062,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
Inland Professional,16.98,128.0,0.133,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Kingston SSDNow KC400,125.95,256.0,0.492,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
SanDisk X400,215.0,256.0,0.84,SSD,,M.2-2280,M.2 SATA,2023-08-06
Seagate Constellation ES,55.0,1000.0,0.055,7200,64.0,3.5,SATA 6.0 Gb/s,2023-08-06
Samsung Spinpoint F3R,110.0,1000.0,0.11,7200,32.0,3.5,SATA 3.0 Gb/s,2023-08-06
Western Digital Caviar Blue,95.45,320.0,0.298,7200,8.0,3.5,PATA 100,2023-08-06
Patriot P300,57.99,256.0,0.227,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
Patriot VPN100,296.7,1000.0,0.297,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
Transcend TS1TSSD370S,599.99,1000.0,0.6000000000000001,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Timetec 30TT253X2,21.99,512.0,0.043,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Intel 660p,86.99,512.0,0.17,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
Hitachi Deskstar 7K1000.D,498.0,500.0,0.996,7200,32.0,3.5,SATA 6.0 Gb/s,2023-08-06
Western Digital VelociRaptor,399.0,450.0,0.887,10000,32.0,2.5,SATA 6.0 Gb/s,2023-08-06
Samsung MZVPV512HDGL-00000,350.0,512.0,0.684,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
Intel 750,499.0,400.0,1.248,SSD,,PCIe,PCIe x4,2023-08-06
Toshiba MG08ADA800E,188.99,8000.0,0.024,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
SanDisk Extreme,159.99,120.0,1.333,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Intel D3-S4510,119.99,1920.0,0.062,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Seagate Cheetah 15K.7,71.0,600.0,0.118,15000,16.0,3.5,SAS 6.0 Gb/s,2023-08-06
Toshiba S300,131.99,4000.0,0.033,5400,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Western Digital AV-25,32.99,1000.0,0.033,5400,16.0,2.5,SATA 3.0 Gb/s,2023-08-06
Toshiba N300 Pro,279.0,16000.0,0.017,7200,512.0,3.5,SATA 6.0 Gb/s,2023-08-06
Seagate SkyHawk Surveillance,192.53,8000.0,0.024,7200,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Western Digital Blue SN580,27.99,250.0,0.112,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-08-06
Nextorage NEM-PA,64.99,1000.0,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2023-08-06
Intel 320,73.0,40.0,1.825,SSD,,2.5,SATA 3.0 Gb/s,2023-08-06
Western Digital Purple Surveillance,144.99,6000.0,0.024,5400,256.0,3.5,SATA 6.0 Gb/s,2023-08-06
Seagate BarraCuda,45.0,500.0,0.09,5400,128.0,2.5,SATA 6.0 Gb/s,2023-08-06
Solidigm P41 Plus,79.99,1000.0,0.08,SSD,,M.2-2230,M.2 PCIe 4.0 X4,2023-08-06
PNY XLR8 CS3030,689.99,4000.0,0.172,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2023-08-06
Western Digital Red SA500,149.99,2000.0,0.075,SSD,,M.2-2280,M.2 SATA,2023-08-06
Micron 9300 Pro,750.0,7680.0,0.098,SSD,,2.5,U.2,2023-08-06
Mushkin SOURCE 2,62.07,1000.0,0.062,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Crucial BX300,95.42,240.0,0.398,SSD,,2.5,SATA 6.0 Gb/s,2023-08-06
Western Digital RE,48.0,1000.0,0.048,7200,64.0,3.5,SATA 6.0 Gb/s,2023-08-06
Western Digital Black,66.0,750.0,0.088,7200,16.0,2.5,SATA 6.0 Gb/s,2023-08-06
Hitachi Travelstar 5K500.B,69.0,250.0,0.276,5400,8.0,2.5,SATA 3.0 Gb/s,2023-08-06
