name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,snapshot_date
Kingston Server Premier 32 GB,91.06,"4, 3200","1, 32",2.846,,13.75,22.0,2023-08-06
G.Skill Trident X 16 GB,100.51,"3, 2400","4, 4",6.282,Black / Red,8.333,10.0,2023-08-06
TEAMGROUP T-Force Zeus 64 GB,107.99,"4, 3200","2, 32",1.687,Red,12.5,20.0,2023-08-06
Kingston FURY Renegade 32 GB,97.08,"4, 2666","1, 32",3.034,Black,11.253,15.0,2023-08-06
TEAMGROUP Elite Plus 16 GB,39.99,"5, 4800","1, 16",2.499,Silver,16.667,40.0,2023-08-06
Corsair Vengeance 4 GB,52.47,"3, 1600","1, 4",13.117,Black / Blue,11.25,9.0,2023-08-06
Samsung MV-3V4G3/US 4 GB,86.63,"3, 1600","1, 4",21.657,Black,13.75,11.0,2023-08-06
Corsair XMS 16 GB,79.99,"3, 1333","2, 8",4.999,Black / Silver,13.503,9.0,2023-08-06
Corsair Vengeance LED 64 GB,946.34,"4, 3200","4, 16",14.787,Black / Blue,10.0,16.0,2023-08-06
Crucial CT4G4RFS8266 4 GB,25.0,"4, 2666","1, 4",6.25,Green / Black,14.254,19.0,2023-08-06
Kingston Fury Renegade RGB 16 GB,56.17,"4, 3200","1, 16",3.511,Black / Silver,10.0,16.0,2023-08-06
Kingston Fury Renegade RGB 16 GB,157.99,"5, 6800","1, 16",9.874,Silver / Black,10.588,36.0,2023-08-06
Timetec PINNACLE Konduit 16 GB,30.99,"4, 3200","1, 16",1.937,Black,10.0,16.0,2023-08-06
Crucial CT12864AA667 1 GB,19.2,"2, 667","1, 1",19.2,Green,14.993,5.0,2023-08-06
G.Skill F3-12800CL9D-4GBNQ 4 GB,54.0,"3, 1600","2, 2",13.5,Red / Silver,11.25,9.0,2023-08-06
Crucial CT25664BA160B 2 GB,12.96,"3, 1600","1, 2",6.48,Green,13.75,11.0,2023-08-06
Kingston KVR1333D3E9SK2/16G 16 GB,128.88,"3, 1333","2, 8",8.055,Green,13.503,9.0,2023-08-06
Corsair Vengeance LED 32 GB,179.99,"4, 2666","2, 16",5.625,Black / White,12.003,16.0,2023-08-06
Mushkin Silverline 16 GB,36.99,"4, 2133","2, 8",2.312,Silver / Green,14.065,15.0,2023-08-06
Corsair Dominator Platinum RGB 16 GB,601.82,"4, 4266","2, 8",37.614,Black,8.908,19.0,2023-08-06
G.Skill Trident Z RGB 64 GB,152.59,"4, 2666","2, 32",2.384,,14.254,19.0,2023-08-06
Corsair Vengeance RGB RS 32 GB,179.99,"4, 3600","4, 8",5.625,Black,10.0,18.0,2023-08-06
Mushkin Redline Lumina 16 GB,44.99,"4, 3200","2, 8",2.8120000000000003,Black,10.0,16.0,2023-08-06
Corsair Vengeance RGB Pro 64 GB,236.0,"4, 3000","4, 16",3.688,Black,10.667,16.0,2023-08-06
Kingston ValueRAM 32 GB,71.75,"4, 3200","1, 32",2.242,,13.75,22.0,2023-08-06
G.Skill Ripjaws V 32 GB,172.99,"4, 4000","2, 16",5.406,Black,8.5,17.0,2023-08-06
TEAMGROUP T-Force Zeus 8 GB,16.98,"4, 3200","1, 8",2.123,Red / Black,13.75,22.0,2023-08-06
TEAMGROUP T-Create Classic 32 GB,46.99,"4, 3200","1, 32",1.468,Silver / Black,13.75,22.0,2023-08-06
Corsair Vengeance LPX 128 GB,340.75,"4, 2666","8, 16",2.662,Black / Yellow,11.253,15.0,2023-08-06
Kingston ValueRAM 8 GB,39.4,"5, 4800","1, 8",4.925,,16.667,40.0,2023-08-06
G.Skill Ares 16 GB,149.0,"3, 1600","4, 4",9.312,Black / Orange,11.25,9.0,2023-08-06
G.Skill Trident Z Neo 256 GB,609.99,"4, 3200","8, 32",2.383,Black / Silver,10.0,16.0,2023-08-06
Kingston KCP426NS8/8 8 GB,24.47,"4, 2666","1, 8",3.059,Green / Black,14.254,19.0,2023-08-06
Thermaltake TOUGHRAM 16 GB,149.99,"4, 3600","2, 8",9.374,White / Silver,10.0,18.0,2023-08-06
Thermaltake TOUGHRAM RGB 16 GB,139.98,"4, 3200","2, 8",8.749,Black / Silver,10.0,16.0,2023-08-06
Kingston HyperX Fury 64 GB,449.0,"4, 3466","2, 32",7.016,Black,9.81,17.0,2023-08-06
TEAMGROUP T-Force Xtreem ARGB 32 GB,162.88,"4, 3200","2, 16",5.09,White,10.0,16.0,2023-08-06
G.Skill Trident Z Royal Elite 32 GB,292.53,"4, 4000","2, 16",9.142,Silver,8.0,16.0,2023-08-06
Kingston FURY 32 GB,130.61,"5, 5600","1, 32",4.082,White,14.286,40.0,2023-08-06
G.Skill Sniper X 16 GB,62.63,"4, 3200","2, 8",3.914,Black / Camo,10.0,16.0,2023-08-06
