name,price,socket,form_factor,max_memory,memory_slots,color,snapshot_date
Gigabyte Z690 AERO G DDR4,219.99,LGA1700,ATX,128,4,Black/Silver,2023-08-06
Asus Z590 WIFI GUNDAM EDITION,177.99,LGA1200,ATX,128,4,Black/White,2023-08-06
Asus ROG STRIX B660-G GAMING WIFI,272.7,LGA1700,MicroATX,128,4,Black,2023-08-06
ASRock A520M Phantom Gaming 4,96.99,AM4,MicroATX,128,4,Black,2023-08-06
Gigabyte Z590 AORUS PRO AX,209.99,LGA1200,ATX,128,4,Black,2023-08-06
ASRock Z690 Extreme,180.99,LGA1700,ATX,128,4,Black/Silver,2023-08-06
Asus TUF GAMING B550M-PLUS (WI-FI),241.79,AM4,MicroATX,128,4,Black,2023-08-06
Asus PRO A520M-C II/CSM,87.81,AM4,MicroATX,64,2,Green/Black,2023-08-06
Asus PRIME B450M-A/CSM,135.0,AM4,MicroATX,64,4,Black/Silver,2023-08-06
MSI MAG X570S TORPEDO MAX,252.78,AM4,ATX,128,4,Blue/Black,2023-08-06
Asus ROG Crosshair VIII Formula,531.99,AM4,ATX,128,4,Black,2023-08-06
MSI MPG Z490 GAMING CARBON WIFI,209.99,LGA1200,ATX,128,4,Black/Silver,2023-08-06
Gigabyte Z590 AORUS ELITE AX,299.0,LGA1200,ATX,128,4,Black,2023-08-06
Asus PRIME B760M-A AX,168.99,LGA1700,MicroATX,128,4,Silver/Black,2023-08-06
ASRock B660 Pro RS,152.54,LGA1700,ATX,128,4,Gray/Black,2023-08-06
Gigabyte B650M C,141.98,AM5,MicroATX,128,4,Brown/Black,2023-08-06
Asus PRIME B660M-A AC D4,149.99,LGA1700,MicroATX,128,4,Silver/Black,2023-08-06
Asus PRIME A620M-A-CSM,129.99,AM5,MicroATX,128,4,Silver/Black,2023-08-06
Asus ROG Crosshair VIII Impact,459.99,AM4,MiniDTX,64,2,Black,2023-08-06
Supermicro MBD-X10DAL-I-O,636.81,2xLGA2011-3,ATX,512,8,Black/Green,2023-08-06
Asus TUF GAMING B660M-PLUS WIFI,243.56,LGA1700,MicroATX,128,4,Yellow/Black,2023-08-06
