name,price,type,efficiency,wattage,modular,color,snapshot_date
Super Flower LEADEX VII XG,179.99,ATX,gold,850,Full,Black,2023-08-06
Razer Katana Chroma,279.99,ATX,platinum,850,Full,Black,2023-08-06
Silverstone Essential,94.99,ATX,gold,750,False,Black / Yellow,2023-08-06
Thermaltake Toughpower SFX,259.58,SFX,gold,1000,Full,Black,2023-08-06
SeaSonic FOCUS,251.0,ATX,platinum,750,Full,Black,2023-08-06
Deepcool PM650D,89.99,ATX,gold,650,False,Black,2023-08-06
Xilence XP600R6,102.48,ATX,,600,False,Black / Red,2023-08-06
Super Flower Leadex III Gold,114.99,ATX,gold,650,Full,Black,2023-08-06
be quiet! Straight Power 12,379.9,ATX,platinum,1500,Full,Black,2023-08-06
Deepcool DA700N,87.99,ATX,bronze,700,False,Black,2023-08-06
Corsair RM650,224.4,ATX,gold,650,Full,,2023-08-06
Montech TITAN GOLD 1000W,169.99,ATX,gold,1000,Full,Black,2023-08-06
SeaSonic CORE GM,173.99,ATX,gold,500,Semi,Black,2023-08-06
EVGA SuperNOVA 1000 P3,249.0,ATX,platinum,1000,Full,Black / Silver,2023-08-06
Deepcool PX-G,159.99,ATX,gold,850,Full,Black,2023-08-06
SeaSonic FOCUS Gold,137.98,ATX,gold,750,Semi,,2023-08-06
SeaSonic FOCUS Gold,127.03,ATX,gold,650,Semi,,2023-08-06
Montech TITAN GOLD 1200W,200.05,ATX,gold,1200,Full,Black,2023-08-06
Corsair HX750,273.99,ATX,gold,750,Semi,,2023-08-06
Corsair RM750x White,279.0,ATX,gold,750,Full,White / Black,2023-08-06
EVGA SuperNOVA 650 G1,218.49,ATX,gold,650,Full,,2023-08-06
EVGA SuperNOVA 750 G+,231.99,ATX,gold,750,Full,Black,2023-08-06
Corsair CS650M,299.99,ATX,gold,650,Semi,,2023-08-06
SeaSonic PRIME PX,399.34,ATX,platinum,1600,Full,Black / Silver,2023-08-06
be quiet! Straight Power 11 550W,109.0,ATX,gold,550,Full,,2023-08-06
Cooler Master XG850 Plus,188.99,ATX,platinum,850,Full,Black,2023-08-06
Antec High Current Gamer Gold,170.56,ATX,gold,750,Full,Black,2023-08-06
SeaSonic PRIME Fanless,298.98,ATX,titanium,700,Full,Black,2023-08-06
Deepcool PQ650M,110.98,ATX,gold,650,Full,Black,2023-08-06
Corsair HX750i,440.0,ATX,platinum,750,Full,,2023-08-06
